2023-06-03 13:07:38,662 INFO    StreamThr :8489 [internal.py:wandb_internal():86] W&B internal server running at pid: 8489, started at: 2023-06-03 13:07:38.661745
2023-06-03 13:07:38,839 DEBUG   HandlerThread:8489 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-06-03 13:07:39,748 INFO    Thread-25 :8489 [dir_watcher.py:_on_file_created():278] file/dir created: /home/singh/mlops-zoomcamp-2023/02-experiment-tracking/WandbTraining/wandb/run-20230603_130735-fpr7vjhw/files/conda-environment.yaml
2023-06-03 13:07:39,748 INFO    Thread-25 :8489 [dir_watcher.py:_on_file_created():278] file/dir created: /home/singh/mlops-zoomcamp-2023/02-experiment-tracking/WandbTraining/wandb/run-20230603_130735-fpr7vjhw/files/requirements.txt
2023-06-03 13:07:39,748 INFO    Thread-25 :8489 [dir_watcher.py:_on_file_created():278] file/dir created: /home/singh/mlops-zoomcamp-2023/02-experiment-tracking/WandbTraining/wandb/run-20230603_130735-fpr7vjhw/files/wandb-summary.json
2023-06-03 13:07:40,482 DEBUG   HandlerThread:8489 [system_info.py:_save_conda():86] Saving conda packages done
2023-06-03 13:07:40,483 INFO    HandlerThread:8489 [system_monitor.py:probe():216] Finished publishing system info
2023-06-03 13:07:40,483 DEBUG   SenderThread:8489 [sender.py:send():375] send: files
2023-06-03 13:07:40,484 INFO    SenderThread:8489 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-06-03 13:07:40,495 DEBUG   SenderThread:8489 [sender.py:send():375] send: telemetry
2023-06-03 13:07:40,497 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:07:40,498 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:07:40,709 INFO    wandb-upload_0:8489 [upload_job.py:push():137] Uploaded file /tmp/tmp6mtegq0awandb/ggxoq88f-wandb-metadata.json
2023-06-03 13:07:40,747 INFO    Thread-25 :8489 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/singh/mlops-zoomcamp-2023/02-experiment-tracking/WandbTraining/wandb/run-20230603_130735-fpr7vjhw/files/conda-environment.yaml
2023-06-03 13:07:40,748 INFO    Thread-25 :8489 [dir_watcher.py:_on_file_created():278] file/dir created: /home/singh/mlops-zoomcamp-2023/02-experiment-tracking/WandbTraining/wandb/run-20230603_130735-fpr7vjhw/files/wandb-metadata.json
2023-06-03 13:07:44,539 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:07:49,540 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:07:54,540 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:07:55,495 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:07:55,495 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:08:00,520 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:05,521 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:10,495 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:08:10,496 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:08:10,524 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:10,756 INFO    Thread-25 :8489 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/singh/mlops-zoomcamp-2023/02-experiment-tracking/WandbTraining/wandb/run-20230603_130735-fpr7vjhw/files/config.yaml
2023-06-03 13:08:15,590 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:20,591 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:25,495 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:08:25,496 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:08:26,514 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:31,515 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:36,516 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:38,832 DEBUG   SystemMonitor:8489 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2023-06-03 13:08:38,833 DEBUG   SenderThread:8489 [sender.py:send():375] send: stats
2023-06-03 13:08:40,496 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:08:40,496 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:08:41,521 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:46,522 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:51,523 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:08:55,496 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:08:55,496 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:08:57,521 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:02,522 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:07,523 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:08,834 DEBUG   SenderThread:8489 [sender.py:send():375] send: stats
2023-06-03 13:09:10,496 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:09:10,496 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:09:13,515 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:18,516 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:23,517 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:25,496 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:09:25,496 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:09:29,513 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:34,514 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:38,834 DEBUG   SenderThread:8489 [sender.py:send():375] send: stats
2023-06-03 13:09:39,835 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:40,496 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:09:40,497 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:09:45,528 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:50,529 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:09:55,496 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:09:55,497 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:09:56,515 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:10:01,516 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:10:06,517 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:10:08,834 DEBUG   SenderThread:8489 [sender.py:send():375] send: stats
2023-06-03 13:10:10,496 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:10:10,497 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:10:11,525 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:10:16,526 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:10:21,527 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:10:25,497 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: stop_status
2023-06-03 13:10:25,497 DEBUG   SenderThread:8489 [sender.py:send_request():402] send_request: stop_status
2023-06-03 13:10:27,522 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
2023-06-03 13:10:32,523 DEBUG   HandlerThread:8489 [handler.py:handle_request():144] handle_request: status_report
